št;maticna;skd_pod;leto;f01;f02;f03;f04;f05;f06;f07;f08;f09;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f46;f47;default
1992;1943081000;I;2016;-2,00;0,16;0,07;0,03;1,05;1,04;26069,26;4686,86;0,12;-0,14;0,00;0,27;0,44;0,27;0,02;0,12;-0,51;-0,14;0,00;-0,04;1,04;-0,03;3,90;0,13;2,27;1,00;0,60;0,39;0,00;0,40;0,12;3,75;108,73;6,40;10,44;0,00;0,42;0,10;0,38;0,37;0,10;0,32;1,00;11,45;0,00
1993;5633826000;I;2017;0,12;0,03;0,07;0,03;1,02;1,03;26198,36;1251,17;0,04;0,11;0,00;0,84;0,94;0,01;1,15;0,94;-0,02;-0,01;0,17;0,23;0,77;0,29;7,90;0,48;1,07;0,00;0,47;0,28;0,25;0,28;0,36;1,75;7,80;5,11;6,30;0,00;0,06;0,01;0,02;0,02;0,44;0,13;0,64;13,83;0,00
1994;5539145000;I;2016;-0,03;-0,01;0,03;0,00;1,00;1,00;24717,08;-737,63;0,00;0,13;0,00;0,78;0,99;0,64;0,18;0,79;-0,01;0,00;0,02;0,39;0,61;0,63;4,63;0,05;1,02;0,00;0,30;0,25;0,30;0,56;0,23;3,88;55,53;8,63;15,93;136,36;0,13;0,02;0,07;0,12;-0,22;0,05;-1,00;10,93;0,00
1995;3694968000;I;2014;2,43;0,05;0,04;0,02;1,02;1,03;30307,00;2911,00;0,04;-0,06;0,00;0,97;1,00;0,92;0,05;0,63;0,00;0,00;0,03;0,03;0,97;0,03;15,25;0,00;1,00;0,00;0,02;0,14;0,81;0,97;0,56;2,32;57,89;1,88;14,36;0,00;0,52;0,30;0,51;0,52;1,08;0,53;1,00;11,36;0,00
1996;5408946000;I;2017;-0,01;-0,01;0,12;-0,02;0,98;0,98;27994,87;-1619,13;-0,01;-0,43;1,00;0,26;0,37;0,08;0,38;0,83;-0,14;-0,30;0,08;0,75;0,25;2,97;4,57;0,03;2,74;0,00;0,89;0,07;0,02;0,08;0,03;0,46;15,21;2,12;6,48;0,00;-0,14;-0,06;-0,03;-0,12;-0,04;-0,03;-0,39;16,26;0,00
1997;6476856000;I;2014;0,42;0,28;0,05;0,04;1,05;1,05;16930,52;1812,01;0,23;0,09;0,00;2,25;2,54;2,08;0,18;3,86;0,57;0,11;0,01;0,63;0,37;1,71;1,53;0,00;0,39;0,00;0,06;0,93;0,00;0,94;0,57;6,44;142,11;11,11;6,59;10,92;1,05;0,08;0,39;1,05;0,69;6,67;0,30;10,15;0,00
1998;5682328000;I;2016;0,13;0,09;0,15;0,10;1,11;1,11;31176,90;4575,77;0,11;0,61;0,00;0,85;0,87;0,54;0,66;0,96;-0,03;-0,03;0,07;0,76;0,24;3,17;1,42;0,00;1,16;0,00;0,70;0,20;0,05;0,21;0,02;1,15;13,45;4,41;5,63;0,00;0,73;0,15;0,18;0,73;0,02;0,16;0,07;13,65;0,00
1999;6074677000;I;2017;0,36;0,13;0,13;0,11;1,12;1,12;25439,75;5959,38;0,16;0,13;0,00;0,97;1,19;0,71;0,26;1,00;0,02;0,02;0,02;0,38;0,62;0,61;3,07;0,51;0,84;0,00;0,86;0,14;0,00;0,14;0,03;1,50;66,15;7,85;9,17;59,22;1,29;0,10;0,15;0,24;-0,03;0,00;0,11;13,12;0,00
2000;2348675000;I;2014;-0,22;-0,04;0,01;-0,08;0,90;0,92;16218,20;-4285,20;-0,03;-0,15;1,00;0,34;0,41;0,12;0,22;0,96;-0,03;-0,12;0,04;0,13;0,87;0,15;226,08;0,81;2,44;0,00;0,98;0,02;0,00;0,02;0,16;0,31;20,65;2,24;13,31;0,00;-0,64;-0,13;-0,04;-0,04;0,15;-0,13;-0,17;13,40;0,00
2001;2301717000;I;2014;0,02;0,01;0,05;0,01;1,01;1,01;14859,00;162,80;0,01;0,40;0,00;0,20;0,23;0,17;0,04;0,68;-0,29;-0,16;0,01;0,50;0,50;1,00;6,24;0,13;4,34;0,00;0,91;0,09;0,00;0,09;0,00;1,65;217,18;2,90;11,94;0,00;0,68;0,14;0,25;0,51;-0,16;-0,16;-0,72;11,36;0,00
2002;5733812000;I;2014;2,65;0,53;0,09;0,06;1,08;1,07;25030,83;3868,12;0,44;-0,21;0,00;0,56;0,90;0,39;0,17;0,49;-0,07;-0,01;0,02;0,28;0,72;0,39;1,24;0,00;1,11;0,00;0,32;0,62;0,00;0,65;0,14;7,78;61,08;5,97;13,68;0,00;0,90;0,10;0,65;0,90;0,33;0,39;1,00;11,06;0,00
2003;6913636000;I;2016;-0,43;-0,34;-0,08;-0,09;0,92;0,92;4530,83;-7321,08;-0,45;0,11;0,00;0,40;5,29;0,40;0,00;0,89;0,73;0,14;0,00;0,83;0,17;4,91;150,00;0,00;0,19;0,00;0,11;0,90;0,00;0,90;0,00;3,87;159,82;17,91;4,62;5,52;-2,85;-0,09;-0,48;-2,85;-0,40;0,85;-1,00;8,77;0,00
2004;5774080000;I;2014;-2,00;-0,07;0,01;-0,01;0,99;0,99;15978,25;-229,25;-0,07;-2,55;1,00;0,31;0,43;0,21;0,37;-3,78;-1,27;-0,10;0,02;-1,22;2,22;-0,55;17,76;0,00;2,33;1,00;0,05;0,95;0,00;0,95;0,00;12,88;75,75;11,21;15,02;0,00;-0,02;0,00;-0,05;-0,02;0,11;0,02;0,84;9,48;0,00
2005;5856957000;I;2013;-2,00;-3,35;-0,85;-0,87;0,53;0,53;-10742,00;-22242,00;-4,89;-18,11;1,00;0,07;0,40;0,07;0,00;-0,15;-0,69;-0,05;0,00;-18,53;19,53;-0,95;150,00;2,09;2,52;1,00;0,55;0,45;0,00;0,45;0,00;11,08;19,88;16,41;37,55;0,00;-4,78;-0,87;-3,59;-0,10;-0,34;0,14;-0,19;7,54;0,00
2006;6539017000;I;2017;0,59;0,40;0,11;0,10;1,11;1,11;24835,34;5545,24;0,37;0,34;0,00;2,14;2,30;1,90;0,23;1,98;0,39;0,10;0,02;0,70;0,30;2,33;0,70;0,00;0,44;0,00;0,30;0,69;0,00;0,69;0,44;4,82;66,27;9,47;6,63;14,41;1,50;0,12;0,45;1,50;0,71;0,21;0,18;12,27;0,00
2007;2334887000;I;2015;-2,00;-0,04;0,23;-0,24;0,61;0,81;26947,00;-37199,00;-0,02;-0,30;1,00;1,81;2,60;0,36;1,45;1,01;0,01;0,21;0,19;-0,33;1,33;-0,25;92,64;1,32;0,39;1,00;0,98;0,02;0,00;0,02;-0,01;0,06;5,50;5,11;2,54;4,99;-1,04;-0,13;-0,01;-0,01;-0,03;-0,09;0,02;13,73;0,00
2008;7056001000;I;2017;-2,00;-0,59;-0,06;-0,07;0,93;0,93;9199,82;-6329,19;-0,57;-0,42;1,00;0,13;0,32;0,07;0,07;-1,10;-1,25;-0,16;0,02;-0,86;1,86;-0,46;150,00;0,02;3,11;1,00;0,41;0,59;0,00;0,59;0,38;7,67;56,47;4,91;13,39;0,00;0,00;0,00;0,00;0,00;0,03;1,82;-0,16;10,84;0,00
2009;3298655000;I;2014;-2,00;-0,26;-0,10;-0,10;0,91;0,91;6796,00;-7106,00;-0,30;-3,01;1,00;0,04;0,21;0,00;0,09;-3,11;-2,89;-0,99;0,05;-2,68;3,68;-0,73;150,00;0,00;4,70;1,00;0,22;0,78;0,00;0,78;0,00;2,52;33,32;1,72;3,41;0,00;-0,09;-0,12;-0,35;-0,09;-0,25;0,65;0,28;9,38;0,00
2010;2350114000;I;2017;0,22;0,09;0,02;0,02;1,02;1,02;19004,91;643,97;0,09;-0,25;0,00;1,58;1,73;1,36;0,21;4,69;0,42;0,10;0,03;0,42;0,58;0,73;6,22;0,00;0,58;0,00;0,00;1,00;0,00;1,00;0,06;4,47;38,32;3,10;4,47;11,53;0,19;0,03;0,11;0,19;0,10;0,01;0,59;9,32;0,00
2011;5718503000;I;2015;0,01;0,01;0,29;0,07;1,04;1,07;29912,00;1957,00;0,01;0,41;0,00;0,11;0,11;0,00;0,70;0,70;-0,29;-1,40;0,16;0,58;0,42;1,39;7,04;0,09;9,67;0,00;0,20;0,03;0,52;0,03;0,21;0,22;9,21;2,09;5,81;0,00;0,15;0,23;0,05;0,11;0,15;0,45;-0,16;12,42;0,00
2012;5397375000;I;2016;0,07;0,03;0,02;0,01;1,02;1,01;12702,98;1221,43;0,02;0,01;0,00;1,43;1,85;0,80;0,63;1,37;0,42;0,22;0,16;0,41;0,59;0,68;14,74;0,00;0,65;0,00;0,09;0,91;0,00;0,91;-0,12;1,78;5,32;2,55;1,93;5,69;0,43;0,11;0,21;0,36;-0,13;0,37;-0,48;10,17;0,00
2013;3346005000;I;2013;0,80;0,29;0,11;0,09;1,10;1,09;39830,68;11176,99;0,28;0,13;0,00;2,44;2,65;2,07;0,38;3,17;0,53;0,16;0,04;0,43;0,57;0,74;1,66;0,25;0,38;0,00;0,15;0,65;0,19;0,85;0,73;3,89;30,31;8,66;4,97;12,00;1,07;0,10;0,34;0,60;0,44;0,29;0,70;11,95;0,00
2014;2185814000;I;2013;0,11;0,06;0,02;-0,02;1,02;0,98;15015,49;753,76;-0,07;0,38;0,00;0,73;0,94;0,71;0,02;2,64;-0,02;-0,01;0,00;0,66;0,34;1,93;5,36;0,01;1,07;0,00;0,18;-0,11;0,00;0,31;0,14;3,94;586,62;6,89;0,00;0,00;-0,21;-0,02;-0,07;-0,21;-0,10;0,06;-0,49;10,78;0,00
2015;1992155000;I;2013;0,34;0,14;0,03;0,03;1,03;1,03;25392,78;2208,25;0,14;-0,08;0,00;0,65;1,35;0,55;0,10;0,65;0,21;0,04;0,01;0,40;0,60;0,66;3,85;0,00;0,74;0,00;0,18;0,82;0,00;0,82;0,71;7,00;104,99;9,31;8,13;26,25;0,70;0,08;0,42;0,70;0,71;0,23;0,51;9,84;0,00
2016;6160948000;I;2013;0,32;0,06;0,11;0,11;1,11;1,13;18554,00;636,33;0,05;0,01;0,00;0,25;1,16;0,00;0,25;0,18;0,14;0,29;0,44;0,14;0,86;0,16;16,00;0,00;0,86;0,00;0,00;1,00;0,00;1,00;0,06;0,73;1,95;0,80;0,65;3,95;0,00;0,00;0,00;0,00;2,20;-0,08;0,67;11,28;0,00
2017;6256066000;I;2015;0,53;0,17;0,15;0,14;1,16;1,16;22905,62;7864,61;0,18;0,12;0,00;1,30;1,51;0,00;1,47;2,22;0,33;0,25;0,64;0,35;0,65;0,54;3,40;0,00;0,66;0,00;0,02;0,98;0,00;0,98;0,00;1,52;3,03;1,67;1,34;5,20;-0,85;-0,42;-0,55;-0,85;0,36;0,02;0,12;11,46;0,00
2018;6556779000;I;2016;0,10;0,04;0,08;0,08;1,03;1,08;11804,00;1007,20;0,19;0,15;0,00;1,92;2,19;0,40;1,52;4,31;0,54;0,22;0,29;0,53;0,47;1,11;2,51;0,00;0,47;0,00;0,00;0,82;0,18;1,00;0,06;2,07;6,99;3,60;4,77;3,65;-2,27;-0,43;-1,04;-2,19;-0,26;0,01;1,00;10,10;0,00
2019;6355579000;I;2013;-2,00;-0,43;-0,03;-0,03;0,97;0,97;14070,88;-1415,84;-0,22;0,00;0,00;0,47;0,62;0,15;0,32;-0,35;-0,44;-0,06;0,05;-0,15;1,15;-0,13;150,00;0,00;1,63;1,00;0,26;0,68;0,00;0,71;1,05;13,71;37,83;8,23;20,84;0,00;0,34;0,06;0,39;0,34;0,02;0,07;-1,00;11,66;0,00
2020;7039026000;I;2017;-1,34;-0,11;-0,15;-0,15;0,98;0,87;4450,58;-1335,60;-0,54;-0,03;1,00;0,94;1,02;0,73;0,21;0,21;0,02;0,01;0,06;0,02;0,98;0,02;150,00;0,00;1,01;0,00;0,02;0,29;0,67;0,97;0,00;4,67;12,44;4,80;10,24;69,62;0,71;0,19;0,68;0,69;0,82;1,51;-0,54;10,96;0,00
2021;5915210000;I;2014;-2,00;-0,12;-0,85;-1,38;0,42;0,42;-1819,00;-28771,00;-0,13;-0,20;1,00;0,01;0,01;0,00;0,02;-0,04;-1,03;-11,02;0,07;-0,28;1,28;-0,22;150,00;0,24;91,54;1,00;0,99;0,01;0,00;0,01;0,00;0,06;7,93;0,36;14,19;0,00;-0,05;-0,81;-0,05;-0,04;-0,05;-0,36;-0,12;12,34;0,00
2022;5790328000;I;2014;-2,00;-0,16;-0,17;-0,22;0,85;0,82;9105,20;-6931,60;-0,19;-0,03;0,00;0,23;0,24;0,02;1,41;-0,14;-0,84;-0,99;0,27;-0,10;1,10;-0,09;150,00;0,00;4,16;1,00;0,71;0,25;0,01;0,27;0,00;0,82;3,64;3,45;3,85;0,00;-0,12;-0,16;-0,13;-0,12;-0,03;-0,31;-1,00;11,60;0,00
2023;3587053000;I;2014;-2,00;0,06;0,01;0,01;1,01;1,01;18987,00;1571,00;0,04;-0,49;0,00;0,65;0,75;0,64;0,01;-2,71;-0,34;-0,11;0,00;-0,34;1,34;-0,26;32,51;0,00;1,34;1,00;0,00;1,00;0,00;1,00;0,06;5,92;100,73;3,56;5,87;0,00;0,62;0,26;0,83;0,62;10,07;0,09;0,00;10,82;0,00
2024;6202101000;I;2013;0,57;0,15;0,12;0,10;1,11;1,11;18554,00;636,33;0,09;0,02;0,00;0,25;0,32;0,23;0,03;0,43;-0,44;-0,49;0,02;0,19;0,81;0,24;7,45;0,17;3,19;0,00;0,80;0,20;0,00;0,20;0,94;1,52;84,32;2,52;5,68;0,00;0,90;0,64;0,57;0,71;4,69;2,68;0,67;11,33;0,00
2025;5814928000;I;2015;-2,00;-0,79;-0,18;-0,18;0,84;0,85;12005,59;-6196,09;-0,96;-0,97;1,00;0,01;0,02;0,01;0,01;-1,21;-2,14;-0,40;0,00;-1,17;2,17;-0,54;150,00;0,00;60,90;1,00;0,21;0,04;0,00;0,04;-0,13;4,26;134,43;2,85;49,08;0,00;-0,27;-0,11;-0,58;-0,27;-0,35;0,29;-0,01;9,32;0,00
2026;6205828000;I;2015;-0,30;-0,10;-0,20;-0,47;0,63;0,68;8625,32;-5768,99;-0,08;0,34;0,00;0,01;0,01;0,00;0,02;0,63;-0,37;-2,15;0,01;0,28;0,72;0,39;150,00;0,35;91,54;0,00;0,96;0,00;0,04;0,00;-0,03;0,17;158,75;0,27;93,36;0,00;-0,04;-0,08;-0,01;-0,02;-0,07;-0,70;-1,00;12,11;0,00
2027;1227599650;I;2016;0,01;0,01;0,41;0,08;1,06;1,09;18554,00;636,33;0,01;0,40;0,00;0,07;0,07;0,00;0,17;0,54;-0,44;-2,71;0,20;0,50;0,50;0,98;7,64;0,03;13,73;0,00;0,96;0,04;0,00;0,04;0,00;0,16;8,38;0,37;4,65;0,00;-0,13;-0,37;-0,06;-0,12;-0,07;1,00;0,62;11,90;0,00
2028;3434877000;I;2016;2,65;0,11;0,08;0,03;1,04;1,04;22412,58;2373,13;0,12;-0,01;0,00;0,08;0,12;0,03;0,08;0,06;-0,82;-0,23;0,01;0,06;0,94;0,06;3,29;0,00;8,35;0,00;0,33;0,11;0,00;0,11;0,16;3,00;125,61;4,55;28,50;0,00;0,39;0,10;0,36;0,38;-0,08;-0,13;0,29;11,75;0,00
2029;1786601000;I;2015;2,60;0,02;0,13;0,02;1,01;1,02;26718,77;605,43;0,03;-0,02;0,00;0,35;0,40;0,04;0,35;0,09;-0,57;-0,30;0,15;0,02;0,98;0,02;4,07;0,04;2,50;0,00;0,62;0,38;0,00;0,38;0,14;1,74;5,36;1,08;3,63;0,00;0,26;0,13;0,24;0,25;-0,15;0,12;1,00;12,43;0,00
2030;3895696000;I;2016;0,06;0,03;0,18;0,08;1,09;1,09;18554,00;636,33;0,04;0,44;0,00;0,36;0,36;0,10;0,49;0,64;-0,30;-0,62;0,24;0,54;0,46;1,16;5,33;0,00;2,82;0,00;0,02;0,17;0,82;0,17;0,04;0,48;4,91;1,50;2,63;0,00;-0,01;-0,01;0,00;-0,01;-0,02;-0,43;-0,75;11,73;0,00
2031;5568048000;I;2013;-2,00;-0,08;-0,01;-0,04;0,97;0,97;10293,56;-1317,33;-0,13;-2,65;0,00;0,68;0,68;0,68;0,00;-1,54;-0,40;-0,12;0,00;-0,24;1,24;-0,20;150,00;0,00;1,48;1,00;0,00;0,00;0,84;0,84;0,44;2,21;354,78;1,40;26,41;0,00;-0,74;-0,26;-0,92;-0,74;-0,54;-0,41;-1,00;10,76;1,00
2032;6653723000;I;2015;-0,60;-0,06;0,04;-0,01;0,98;0,99;17167,29;-1187,85;-0,03;-0,23;1,00;2,10;3,00;2,03;0,08;1,17;0,25;0,08;0,00;0,07;0,93;0,08;6,66;0,79;0,38;0,00;0,62;0,37;0,00;0,38;0,91;3,26;30,57;35,89;5,54;39,34;2,53;0,10;0,32;0,34;0,05;0,07;0,58;9,92;0,00
2033;6517617000;I;2016;2,65;0,82;0,43;0,42;1,27;1,73;139959,23;53288,52;0,70;0,00;0,00;3,14;3,88;2,49;0,65;3,88;0,74;0,21;0,05;0,74;0,26;2,88;0,21;0,00;0,26;0,00;0,00;1,00;0,00;1,00;0,06;4,66;23,53;2,73;2,70;75,79;-1,26;-0,09;-0,33;-1,26;0,91;-0,08;1,00;9,34;0,00
2034;3308308000;I;2014;0,00;0,00;-0,85;-1,38;1,00;0,42;-1182,44;70,99;-0,02;0,00;0,00;3,34;6,60;0,09;0,10;1,15;0,29;2,03;0,08;0,52;0,48;1,09;150,00;0,43;0,15;0,00;0,32;0,34;0,34;0,35;0,01;0,02;12,07;1,21;0,10;0,01;-0,02;-0,11;0,00;0,00;0,05;-0,57;-0,13;14,19;0,00
2035;6828728000;I;2016;-0,85;-0,23;-0,05;-0,06;0,95;0,95;11229,01;-2305,14;-0,26;0,16;0,00;0,89;1,21;0,31;0,66;0,67;0,17;0,04;0,10;0,18;0,82;0,22;150,00;0,00;0,83;0,00;0,00;0,99;0,00;0,99;1,28;4,16;6,28;4,37;4,57;16,65;0,15;0,03;0,12;0,15;-0,23;0,37;-1,00;10,16;0,00
2036;2260727000;I;2015;0,21;0,04;0,03;0,02;1,02;1,02;18165,94;2146,31;0,05;0,13;0,00;1,12;1,18;0,21;0,96;1,61;0,14;0,05;0,24;0,21;0,80;0,26;10,85;0,04;0,85;0,00;0,11;0,75;0,14;0,89;0,55;3,14;4,58;3,91;4,08;21,09;0,09;0,02;0,07;0,09;0,25;-0,06;0,02;13,19;0,00
2037;5090385000;I;2014;0,03;0,03;0,21;0,09;1,10;1,10;40447,29;5536,15;0,04;0,00;0,00;2,50;2,58;2,28;0,22;1,06;0,05;0,13;0,02;0,95;0,05;20,87;0,52;0,01;0,40;0,00;0,91;0,01;0,07;0,09;0,05;0,42;54,01;5,40;25,58;10,25;2,55;0,20;0,08;1,85;0,02;0,00;0,01;16,26;0,00
2038;2228823000;I;2015;0,14;0,04;0,07;0,05;1,02;1,06;19514,57;1064,67;0,10;0,02;0,00;0,16;1,27;0,10;0,06;0,50;0,15;0,08;0,02;0,23;0,78;0,29;5,71;0,23;0,79;0,00;0,31;0,69;0,00;0,69;0,84;2,34;54,62;2,97;3,02;14,23;-0,06;-0,02;-0,03;-0,04;0,72;0,27;0,04;12,08;0,00
2039;6938647000;I;2017;0,00;0,00;0,01;0,00;1,00;1,00;16261,72;-13,62;0,00;0,10;0,00;1,34;1,47;1,20;0,27;1,68;0,25;0,05;0,01;0,46;0,54;0,86;9,93;0,00;0,68;0,00;0,20;0,42;0,37;0,79;0,01;5,24;65,91;9,61;12,97;24,51;-0,41;-0,04;-0,22;-0,41;-0,05;0,06;-1,00;9,93;0,00
2040;6413382000;I;2017;-0,16;-0,01;0,00;0,00;1,00;1,00;34808,00;-28369,00;0,00;-0,35;1,00;0,76;1,03;0,75;0,01;0,32;0,03;0,01;0,00;0,10;0,90;0,11;65,00;0,00;0,97;0,00;0,01;0,93;0,00;0,93;0,00;3,15;9,32;3,45;3,36;119,51;0,41;0,10;0,37;0,41;-0,31;-0,30;-0,05;9,69;1,00
2041;6428363000;I;2017;1,30;0,30;0,08;0,08;1,08;1,08;22076,59;7522,93;0,20;0,00;0,00;0,86;0,87;0,65;0,23;0,69;-0,10;-0,04;0,06;0,23;0,77;0,30;3,81;0,00;1,15;0,00;0,33;0,18;0,50;0,67;1,00;4,28;31,28;5,11;12,55;0,00;0,88;0,26;0,67;0,88;3,72;0,35;0,55;11,64;0,00
2042;6887490000;I;2015;-0,02;-0,01;0,01;0,00;1,00;1,00;18554,00;636,33;-0,01;0,00;0,00;1,60;3,31;1,60;0,00;1,32;0,64;0,25;0,00;0,73;0,28;2,64;17,95;0,00;0,30;0,00;0,05;0,90;0,00;0,91;0,88;5,08;19,88;18,38;5,63;8,00;-0,70;-0,08;-0,19;-0,70;0,02;0,07;-1,00;9,24;0,00
2043;6644058000;I;2015;0,13;0,08;0,02;0,02;1,02;1,02;14202,60;1438,96;0,10;0,00;0,00;2,80;2,80;2,70;0,90;0,84;0,64;0,12;0,01;0,64;0,36;1,80;3,44;0,00;0,36;0,00;0,00;0,62;0,39;1,00;0,06;4,87;319,72;17,93;9,06;8,58;-1,06;-0,07;-0,38;-1,06;-0,15;2,42;-0,18;9,50;0,00
2044;6301428000;I;2015;-2,00;-0,02;-0,04;-0,05;0,97;0,96;21500,00;-35150,00;-0,14;-4,27;1,00;0,13;0,21;0,07;0,60;-8,78;-3,42;-1,14;0,09;-3,36;4,36;-0,77;150,00;0,00;4,67;1,00;0,01;0,87;0,00;0,93;-1,46;0,70;6,86;0,53;2,33;0,00;-2,20;-1,46;-3,59;-2,20;-0,80;-0,72;0,93;8,91;0,00
2045;2293463000;I;2017;0,35;0,21;0,12;0,10;1,11;1,11;38333,24;9358,80;0,23;0,44;0,00;2,33;2,38;1,55;0,78;5,76;0,50;0,22;0,13;0,64;0,37;1,74;1,36;0,00;0,42;0,00;0,09;0,32;0,51;0,87;0,15;2,60;14,68;4,43;6,48;5,60;0,01;0,00;0,00;0,01;0,40;0,19;-0,20;13,07;0,00
2046;6600379000;I;2016;0,13;0,09;0,12;0,08;1,09;1,09;22511,40;3298,90;0,11;0,19;0,00;0,48;0,51;0,43;0,07;0,87;-0,11;-0,08;0,01;0,73;0,27;2,72;1,67;0,04;1,96;0,00;0,88;0,11;0,00;0,12;0,11;1,43;126,26;5,26;13,47;0,00;0,80;0,13;0,18;0,68;0,10;0,07;-0,06;12,73;0,00
2047;2013231000;I;2013;0,11;0,02;-0,20;-0,20;1,01;0,83;524,14;482,76;-0,42;0,14;0,00;0,00;1,19;0,00;0,00;0,16;0,16;0,08;0,00;0,16;0,84;0,19;150,00;0,00;0,84;0,00;0,00;1,00;0,00;1,00;0,06;2,05;19,88;2,39;2,46;13,88;0,00;0,00;0,00;0,00;-0,04;0,67;0,14;9,08;0,00
2048;1804901000;I;2017;-2,41;-0,27;-0,07;-0,08;0,93;0,93;12992,83;-2945,92;-0,22;0,05;0,00;0,94;0,96;0,41;0,53;-0,48;-0,04;-0,01;0,19;-0,02;1,02;-0,02;150,00;0,00;1,04;1,00;0,02;0,81;0,17;0,98;0,00;3,47;5,55;2,57;4,69;43,20;0,29;0,10;0,29;0,29;0,47;-0,22;-1,00;11,02;0,00
2049;6297854000;I;2016;-2,00;0,15;0,15;0,13;1,11;1,16;29530,22;6916,67;0,22;-0,39;0,00;0,34;0,35;0,28;0,11;0,10;-0,61;-0,37;0,04;-0,37;1,37;-0,27;5,59;0,43;2,89;1,00;0,37;0,12;0,44;0,32;0,00;1,68;10,25;1,84;6,81;0,00;0,34;0,19;0,32;0,23;0,05;0,02;0,01;12,65;0,00
2050;5754291000;I;2016;-0,01;-0,01;-0,01;-0,05;0,99;0,95;17237,60;-418,99;-0,04;0,46;0,00;6,62;6,70;5,90;0,72;17,01;0,82;0,97;0,12;0,86;0,14;5,97;150,00;0,00;0,15;0,00;0,04;0,36;0,60;0,96;0,57;0,80;7,23;2,47;2,11;1,03;-0,18;-0,03;-0,03;-0,18;-0,09;-0,26;-1,00;10,75;0,00
2051;2267900000;I;2016;0,00;0,00;0,41;0,01;1,00;1,01;46635,00;188,41;0,00;0,07;0,00;0,07;0,07;0,05;0,32;0,68;-0,32;-1,72;0,03;0,53;0,47;1,14;6,27;0,13;15,06;0,00;0,98;0,02;0,00;0,02;0,02;0,15;20,19;4,31;5,12;0,00;0,25;0,47;0,09;0,18;-0,05;0,12;-0,42;13,32;0,00
2052;3954170000;I;2013;-4,15;-1,51;-0,18;-0,19;0,84;0,84;1969,31;-9946,54;-1,78;-0,01;0,00;0,52;0,62;0,43;0,09;-1,94;-0,56;-0,06;0,01;-0,46;1,46;-0,32;150,00;0,00;1,62;1,00;0,10;0,90;0,00;0,90;0,92;8,18;141,03;12,09;24,74;27,00;-0,41;-0,06;-0,59;-0,41;-0,26;138,41;-1,00;8,64;0,00
2053;6834833000;I;2015;-2,00;-1,07;-0,21;-0,25;0,80;0,80;1785,00;-8457,00;-0,54;0,00;0,00;0,40;0,48;0,07;0,60;0,37;-0,39;-0,18;0,12;-0,06;1,06;-0,06;150,00;0,32;2,10;1,00;0,31;0,36;0,00;0,36;0,62;4,29;17,21;9,72;14,58;0,00;-0,44;-0,15;-0,33;-0,31;0,02;0,07;-1,00;9,67;0,00
2054;1301047000;I;2013;-1,46;-0,15;-0,09;-0,14;0,88;0,88;11660,50;-7523,00;-0,17;0,00;1,00;0,61;1,10;0,27;0,34;0,96;0,02;0,01;0,04;0,03;0,97;0,03;150,00;0,82;0,91;0,00;0,02;0,15;0,00;0,17;0,09;1,09;20,52;8,07;6,62;10,18;0,19;0,03;0,03;0,03;-0,17;-0,10;-0,53;11,42;0,00
2055;5494907000;I;2013;0,03;0,02;0,16;0,01;1,03;1,01;29669,69;1428,82;0,01;0,07;0,00;2,58;2,65;2,15;0,67;1,18;0,14;0,23;0,06;0,56;0,44;1,26;4,62;0,36;0,38;0,00;0,75;0,06;0,19;0,23;0,01;0,59;15,96;5,03;9,63;5,19;1,20;0,17;0,11;0,24;-0,03;0,05;-0,07;14,07;0,00
2056;6388230000;I;2016;0,65;0,40;0,08;0,08;1,08;1,08;18983,00;4250,00;0,30;0,04;0,00;0,93;1,24;0,93;0,00;0,96;0,09;0,02;0,00;0,60;0,40;1,52;1,25;0,00;0,81;0,00;0,51;0,49;0,00;0,49;0,96;5,22;19,88;8,84;9,95;55,91;1,30;0,13;0,52;1,30;1,07;0,27;0,74;10,26;0,00
2057;3634558000;I;2014;-2,00;-2,08;-0,48;-0,48;0,71;0,67;-14179,68;-29535,33;-2,34;-4,29;1,00;0,33;0,42;0,06;0,37;-6,79;-1,38;-0,29;0,14;-6,01;7,01;-0,86;150,00;2,09;2,38;1,00;0,00;1,00;0,00;1,00;0,06;4,84;10,26;6,03;7,23;0,00;-0,21;-0,10;-0,50;-0,07;0,00;0,07;-0,75;9,97;0,00
2058;6578128000;I;2014;0,12;0,02;0,07;0,05;1,05;1,06;20403,18;4284,09;0,02;0,00;0,00;3,54;4,49;0,21;3,33;1,16;0,18;0,48;0,46;0,15;0,85;0,18;32,46;0,80;0,22;0,00;0,03;0,23;0,74;0,23;0,01;0,38;2,38;10,80;1,78;2,22;0,28;0,04;0,01;0,02;0,06;11,98;0,58;14,42;0,00
2059;6387560000;I;2015;-0,22;-0,09;-0,06;-0,10;0,91;0,91;17308,00;-4420,00;-0,16;0,26;0,00;2,21;2,21;1,33;0,88;3,40;0,45;0,30;0,22;0,63;0,37;1,72;150,00;0,00;0,45;0,00;0,19;0,33;0,49;0,81;0,00;0,71;4,72;0,96;1,51;2,05;-3,91;-0,96;-1,44;-3,39;-0,61;-0,42;-1,00;9,56;0,00
